stock_id,name,entry_date,exit_date,entry_price,exit_price,realized_pnl_pct,stoploss_triggered,exit_reason,score
2364,倫飛,2016-12-01,2016-12-05,2.72,2.5,-0.08672485294117652,True,Stop Loss / Trailing Stop,0.1948339526953372
2371,大同,2016-12-01,2016-12-12,9.81,9.01,-0.0873919393476045,True,Stop Loss / Trailing Stop,0.26894750824609376
2440,太空梭,2016-12-01,2017-01-03,8.79,8.87,0.0032587514220705225,False,Normal Rebalance Exit,0.13580456742053282
2477,美隆電,2016-12-01,2016-12-07,18.2,16.8,-0.08276557692307687,True,Stop Loss / Trailing Stop,0.13451784650481075
3043,科風,2016-12-01,2017-01-03,2.2,2.18,-0.01493340909090915,False,Normal Rebalance Exit,0.18163213919242835
3051,力特,2016-12-01,2017-01-03,3.86,4.62,0.1910486917098446,False,Normal Rebalance Exit,0.14153662662454466
3085,新零售,2016-12-01,2017-01-03,17.65,17.3,-0.025672528328611804,False,Normal Rebalance Exit,0.2354413928184561
3310,佳穎,2016-12-01,2016-12-20,18.0,16.55,-0.08639805555555549,True,Stop Loss / Trailing Stop,0.13083628562771915
4554,橙的,2016-12-01,2017-01-03,52.0,49.1,-0.061611730769230794,False,Normal Rebalance Exit,0.15864470201668998
4924,欣厚-KY,2016-12-01,2017-01-03,10.55,10.0,-0.05797520142180104,False,Normal Rebalance Exit,0.14147661597554476
5014,建錩,2016-12-01,2017-01-03,8.84,9.92,0.11632944570135748,False,Normal Rebalance Exit,0.15844066250734345
5340,建榮,2016-12-01,2017-01-03,4.96,5.02,0.006254274193548266,False,Normal Rebalance Exit,0.134126894444054
5469,瀚宇博,2016-12-01,2016-12-05,21.2,19.1,-0.10489910377358483,True,Stop Loss / Trailing Stop,0.26803143093174137
5488,松普,2016-12-01,2017-01-03,7.65,9.23,0.20069344771241823,False,Normal Rebalance Exit,0.14258880634088533
6116,彩晶,2016-12-01,2016-12-13,8.87,8.18,-0.0836328043968432,True,Stop Loss / Trailing Stop,0.3451998117568831
6122,擎邦,2016-12-01,2017-01-03,9.92,9.98,0.00020588709677424408,False,Normal Rebalance Exit,0.1473167129451218
6150,撼訊,2016-12-01,2017-01-03,16.55,16.3,-0.020948240181268868,False,Normal Rebalance Exit,0.1484327939342719
1512,瑞利,2017-01-03,2017-02-02,6.0,6.6,0.09415749999999987,False,Normal Rebalance Exit,0.10254804953098523
1785,光洋科,2017-01-03,2017-02-02,9.62,17.15,0.7769017827442828,False,Normal Rebalance Exit,0.19140859798047813
2025,千興,2017-01-03,2017-02-02,2.81,3.06,0.08312547153024916,False,Normal Rebalance Exit,0.10485895825375972
2337,旺宏,2017-01-03,2017-02-02,4.6,7.37,0.5963314130434785,False,Normal Rebalance Exit,0.1456230116580182
2371,大同,2017-01-03,2017-02-02,9.61,18.35,0.9036268028095737,False,Normal Rebalance Exit,0.10571813750728482
2609,陽明,2017-01-03,2017-02-02,4.93,5.74,0.15845770283975666,False,Normal Rebalance Exit,0.1597538863865372
3051,力特,2017-01-03,2017-01-09,4.62,4.23,-0.09025808441558439,True,Stop Loss / Trailing Stop,0.10021184937874804
3310,佳穎,2017-01-03,2017-02-02,20.25,27.15,0.3348982407407406,False,Normal Rebalance Exit,0.12150471722409366
3346,麗清,2017-01-03,2017-02-02,60.0,81.2,0.3474908333333333,False,Normal Rebalance Exit,0.11542422082048114
3406,玉晶光,2017-01-03,2017-02-02,109.5,196.5,0.7886780479452056,False,Normal Rebalance Exit,0.17940158678797483
5202,力新,2017-01-03,2017-02-02,23.65,28.0,0.17808984672304448,False,Normal Rebalance Exit,0.11941776298309752
5222,全訊,2017-01-03,2017-02-02,63.44,72.8,0.14169848360655732,False,Normal Rebalance Exit,0.1253756533301368
5386,青雲,2017-01-03,2017-02-02,45.95,61.5,0.332568816648531,False,Normal Rebalance Exit,0.13112551781562962
6101,寬魚國際,2017-01-03,2017-02-02,19.7,22.9,0.1565940482233503,False,Normal Rebalance Exit,0.14845504261785505
6130,上亞科技,2017-01-03,2017-02-02,28.0,53.0,0.8870146428571428,False,Normal Rebalance Exit,0.11665654453509326
6283,淳安,2017-01-03,2017-02-02,27.65,37.55,0.3522045162748644,False,Normal Rebalance Exit,0.2017785265302099
